,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Monounsaturated Fat Amount,Monounsaturated Fat Unit
912,starbucks,gingerbread creme frappuccino with 2 milk and no whip tall,2,g,10,mg,170,g,31,g,4,g,1.5,g,0,g,0,g,31,g,,
913,starbucks,gingerbread creme frappuccino with 2 milk and no whip venti,4,g,15,mg,310,g,56,g,6,g,2.5,g,0,g,0,g,55,g,,
914,starbucks,gingerbread creme frappuccino with 2 milk and whip grande,14,g,50,mg,240,g,48,g,5,g,9,g,0,g,0,g,48,g,,
915,starbucks,gingerbread creme frappuccino with 2 milk and whip tall,10,g,40,mg,180,g,33,g,4,g,6,g,0,g,0,g,33,g,,
916,starbucks,gingerbread creme frappuccino with 2 milk and whip venti,15,g,55,mg,320,g,59,g,7,g,9,g,0,g,0,g,59,g,,
917,starbucks,gingerbread creme frappuccino with almond milk and no whip grande,2,g,0,mg,230,g,41,g,1,g,0,g,0,g,1,g,40,g,,
918,starbucks,gingerbread creme frappuccino with almond milk and no whip tall,1.5,g,0,mg,170,g,28,g,1,g,0,g,0,g,1,g,27,g,,
919,starbucks,gingerbread creme frappuccino with almond milk and no whip venti,3,g,0,mg,300,g,50,g,1,g,0,g,0,g,1,g,49,g,,
920,starbucks,gingerbread creme frappuccino with almond milk and whip grande,13,g,40,mg,240,g,44,g,1,g,7,g,0,g,1,g,43,g,,
921,starbucks,gingerbread creme frappuccino with almond milk and whip tall,10,g,30,mg,170,g,30,g,1,g,5,g,0,g,1,g,30,g,,
922,starbucks,gingerbread creme frappuccino with almond milk and whip venti,14,g,40,mg,310,g,54,g,2,g,7,g,0,g,1,g,52,g,,
923,starbucks,gingerbread creme frappuccino with coconut milk and no whip grande,3,g,0,mg,220,g,43,g,0,g,3,g,0,g,0,g,42,g,,
924,starbucks,gingerbread creme frappuccino with coconut milk and no whip tall,2.5,g,0,mg,160,g,30,g,0,g,2,g,0,g,0,g,29,g,,
925,starbucks,gingerbread creme frappuccino with coconut milk and no whip venti,4,g,0,mg,290,g,53,g,0,g,4,g,0,g,0,g,52,g,,
926,starbucks,gingerbread creme frappuccino with coconut milk and whip grande,14,g,40,mg,230,g,46,g,1,g,10,g,0,g,0,g,46,g,,
927,starbucks,gingerbread creme frappuccino with coconut milk and whip tall,10,g,30,mg,170,g,32,g,1,g,7,g,0,g,0,g,31,g,,
928,starbucks,gingerbread creme frappuccino with coconut milk and whip venti,15,g,40,mg,300,g,56,g,1,g,11,g,0,g,0,g,56,g,,
929,starbucks,gingerbread creme frappuccino with nonfat milk and no whip grande,0,g,5,mg,220,g,45,g,5,g,0,g,0,g,0,g,45,g,,
930,starbucks,gingerbread creme frappuccino with nonfat milk and no whip tall,0,g,0,mg,170,g,31,g,4,g,0,g,0,g,0,g,31,g,,
931,starbucks,gingerbread creme frappuccino with nonfat milk and no whip venti,0,g,5,mg,300,g,56,g,6,g,0,g,0,g,0,g,56,g,,
932,starbucks,gingerbread creme frappuccino with nonfat milk and whip grande,11,g,45,mg,240,g,48,g,5,g,7,g,0,g,0,g,48,g,,
933,starbucks,gingerbread creme frappuccino with nonfat milk and whip tall,8,g,30,mg,170,g,34,g,4,g,5,g,0,g,0,g,33,g,,
934,starbucks,gingerbread creme frappuccino with nonfat milk and whip venti,11,g,45,mg,310,g,59,g,7,g,7,g,0,g,0,g,59,g,,
935,starbucks,gingerbread creme frappuccino with soy milk and no whip grande,2,g,0,mg,220,g,47,g,4,g,0,g,0,g,1,g,45,g,,
936,starbucks,gingerbread creme frappuccino with soy milk and no whip tall,1.5,g,0,mg,160,g,33,g,3,g,0,g,0,g,0,g,31,g,,
937,starbucks,gingerbread creme frappuccino with soy milk and no whip venti,3,g,0,mg,290,g,59,g,5,g,0,g,0,g,1,g,56,g,,
938,starbucks,gingerbread creme frappuccino with soy milk and whip grande,13,g,40,mg,230,g,50,g,4,g,7,g,0,g,1,g,48,g,,
939,starbucks,gingerbread creme frappuccino with soy milk and whip tall,10,g,30,mg,170,g,35,g,3,g,5,g,0,g,0,g,34,g,,
940,starbucks,gingerbread creme frappuccino with soy milk and whip venti,14,g,40,mg,300,g,62,g,6,g,7,g,0,g,1,g,59,g,,
941,starbucks,gingerbread creme frappuccino with whole milk and no whip grande,4.5,g,15,mg,230,g,45,g,4,g,2.5,g,0,g,0,g,45,g,,
942,starbucks,gingerbread creme frappuccino with whole milk and no whip tall,3.5,g,10,mg,170,g,31,g,3,g,2,g,0,g,0,g,31,g,,
943,starbucks,gingerbread creme frappuccino with whole milk and no whip venti,6,g,20,mg,300,g,56,g,6,g,3.5,g,0,g,0,g,55,g,,
944,starbucks,gingerbread creme frappuccino with whole milk and whip grande,16,g,55,mg,240,g,48,g,5,g,9,g,0,g,0,g,48,g,,
945,starbucks,gingerbread creme frappuccino with whole milk and whip tall,11,g,40,mg,170,g,33,g,4,g,7,g,0,g,0,g,33,g,,
946,starbucks,gingerbread creme frappuccino with whole milk and whip venti,17,g,60,mg,310,g,59,g,7,g,11,g,0.5,g,0,g,59,g,,
