,Restaurant Name,Food Name,Total Fat Amount,Total Fat Unit,Cholesterol Amount,Cholesterol Unit,Sodium Amount,Sodium Unit,Total Carbohydrate Amount,Total Carbohydrate Unit,Protein Amount,Protein Unit,Saturated Fat Amount,Saturated Fat Unit,Trans Fat Amount,Trans Fat Unit,Dietary Fiber Amount,Dietary Fiber Unit,Sugars Amount,Sugars Unit,Polyunsaturated Fat Amount,Polyunsaturated Fat Unit
655,pizza hut,smoky garlic traditional bone in wing each,7,g,45,mg,230,g,5,g,9,g,1.5,g,0,g,0,g,3,g,,
656,pizza hut,smoky garlic sauce per 1 bone out wing,2,g,0,mg,55,g,3,g,0,g,0,g,0,g,0,g,2,g,,
657,pizza hut,smoky garlic sauce per 1 traditional wing,2.5,g,0,mg,75,g,5,g,0,g,0,g,0,g,0,g,3,g,,
658,pizza hut,smoky sriracha bone out wing each,4,g,10,mg,230,g,9,g,5,g,1,g,0,g,0,g,2,g,,
659,pizza hut,smoky sriracha bone in wing each,4.5,g,45,mg,240,g,5,g,9,g,1,g,0,g,0,g,3,g,,
660,pizza hut,spaghetti and meat sauce with garlic bread,43,g,80,mg,2220,g,120,g,39,g,16,g,2,g,6,g,24,g,,
661,pizza hut,spaghetti with marinara sauce and meatballs with garlic bread,35,g,85,mg,1950,g,123,g,42,g,12,g,1,g,10,g,26,g,,
662,pizza hut,spaghetti with marinara sauce with garlic bread,12,g,10,mg,1250,g,115,g,22,g,3.5,g,0,g,10,g,24,g,,
663,pizza hut,spaghetti with marinara sauce meatballs and mushrooms with garlic bread,35,g,85,mg,1950,g,125,g,43,g,12,g,1,g,10,g,27,g,,
664,pizza hut,spaghetti with meat sauce and meatballs with garlic bread,66,g,155,mg,2910,g,128,g,59,g,24,g,2.5,g,6,g,26,g,,
665,pizza hut,spaghetti with meat sauce meatballs and mushrooms with garlic bread,66,g,155,mg,2920,g,130,g,60,g,24,g,2.5,g,6,g,27,g,,
666,pizza hut,sparkling wine,0,g,0,mg,5,g,5,g,0,g,0,g,0,g,0,g,3,g,,
667,pizza hut,spicy bbq chicken express personal pan pizza,6,g,15,mg,380,g,18,g,8,g,2,g,0,g,1,g,3,g,,
668,pizza hut,spicy garlic bone out wing each,6,g,10,mg,290,g,8,g,5,g,1,g,0,g,0,g,0,g,,
669,pizza hut,spicy garlic traditional bone in wing each,8,g,45,mg,330,g,3,g,9,g,2,g,0,g,0,g,1,g,,
670,pizza hut,spicy garlic sauce per 1 bone out wing,2.5,g,0,mg,130,g,2,g,0,g,0,g,0,g,0,g,0,g,,
671,pizza hut,spicy garlic sauce per 1 traditional wing,3,g,0,mg,170,g,2,g,0,g,0.5,g,0,g,0,g,0,g,,
672,pizza hut,steak and cheese hoagie w potato chips,42,g,120,mg,2910,g,89,g,53,g,14,g,1,g,4,g,9,g,,
673,pizza hut,steak and cheese hoagie w straight cut fries,56,g,125,mg,3720,g,133,g,55,g,17,g,1,g,6,g,10,g,,
674,pizza hut,straight cut fries w cajun style seasoning w ketchup,24,g,0,mg,1600,g,69,g,4,g,4.5,g,0,g,4,g,7,g,,
675,pizza hut,straight cut fries w lemon pepper seasoning w ketchup,24,g,0,mg,1520,g,69,g,4,g,4.5,g,0,g,4,g,8,g,,
676,pizza hut,stuffed pizza roller 1,10,g,25,mg,520,g,27,g,9,g,4.5,g,0,g,1,g,1,g,,
677,pizza hut,sun dried tomato basil dressing for entree shared salad,31,g,20,mg,1020,g,10,g,2,g,5,g,0,g,1,g,8,g,,
678,pizza hut,super supreme express personal pan pizza,12,g,20,mg,470,g,18,g,9,g,4,g,0,g,2,g,2,g,,
